HugoSymbol	grch38RefSeq	grch38Isoform
GATA4	NM_002052	ENST00000335135
GATA6	NM_005257	ENST00000269216
GEN1	NM_001130009.3	ENST00000381254
GID4	NM_024052.5	ENST00000268719
GLI1	NM_005269.2	ENST00000228682
GNA11	NM_002067.2	ENST00000078429
GNA12	NM_007353.2	ENST00000275364
GNA13	NM_006572.5	ENST00000439174
GNAQ	NM_002072.3	ENST00000286548
GNAS	NM_000516.4	ENST00000371085
GNB1	NM_001282539.1	ENST00000378609
GPC3	NM_004484	ENST00000370818
GPS2	NM_004489.4	ENST00000380728
GRB7	NM_001030002	ENST00000309156
GREM1	NM_013372.7	ENST00000651154
GRIN2A	NM_001134407.1	ENST00000330684
GRM3	NM_000840	ENST00000361669
GSK3B	NM_002093.3	ENST00000316626
GSTO1	NM_004832.3	ENST00000369713
GSTP1	NM_000852.4	ENST00000398606
GTF2I	NM_032999.3	ENST00000573035
H1-2	NM_005319.3	ENST00000343677
H1-3	NM_005320.2	ENST00000244534
H1-4	NM_005321.2	ENST00000304218
H1-5	NM_005322.2	ENST00000331442
H2AC11	NM_021064.5	ENST00000359193
H2AC16	NM_003511.3	ENST00000613174
H2AC17	NM_003514	ENST00000359611
H2AC6	NM_003512.3	ENST00000314088
H2BC11	NM_021058.3	ENST00000339812
H2BC12	NM_080593.2	ENST00000356950
H2BC17	NM_003527.4	ENST00000616182
H2BC4	NM_003518.3	ENST00000314332
H2BC5	NM_021063.3	ENST00000289316
H2BC8	NM_003518.3	ENST00000541790
H3-3A	NM_002107.4	ENST00000366815
H3-3B	NM_005324.3	ENST00000254810
H3-4	NM_003493.2	ENST00000366696
H3-5	NM_001013699.2	ENST00000340398
H3C1	NM_003529.2	ENST00000613854
H3C10	NM_003536.2	ENST00000369163
H3C11	NM_003533.2	ENST00000616365
H3C12	NM_003535.2	ENST00000359303
H3C13	NM_001123375.2	ENST00000331491
H3C14	NM_021059.2	ENST00000369158
H3C15	NM_001005464.2	ENST00000403683
H3C2	NM_003537.3	ENST00000621411
H3C3	NM_003531.2	ENST00000612966
H3C4	NM_003530.4	ENST00000356476
H3C6	NM_003532.2	ENST00000634733
H3C7	NM_021018.2	ENST00000618052
H3C8	NM_003534.2	ENST00000614378
H3P6		ENST00000369387
H4C6	NM_003540	ENST00000244537
H4C9	NM_003495.3	ENST00000615353
HDAC1	NM_004964.2	ENST00000373548
HDAC2	NM_001527.3	ENST00000519065
HDAC4	NM_006037.3	ENST00000345617
HDAC7	XM_011538481.1	ENST00000427332
HERPUD1	NM_014685.4	ENST00000439977
HFE	NM_000410	ENST00000357618
HGF	NM_000601.4	ENST00000222390
HIF1A	NM_001530.3	ENST00000337138
HIP1	NM_005338.7	ENST00000336926
HIRA	NM_003325	ENST00000263208
HLA-A	NM_001242758.1	ENST00000376809
HLA-B	NM_005514.6	ENST00000412585
HLA-C	NM_002117.5	ENST00000376228
HMGA1	NM_145899	ENST00000311487
HMGA2	NM_003483	ENST00000403681
HNF1A	NM_000545.5	ENST00000257555
HNF1B	NM_000458	ENST00000617811
HOXA11	NM_005523	ENST00000006015
HOXA13	NM_000522.5	ENST00000649031
HOXB13	NM_006361.5	ENST00000290295
